Detector/Descriptor,BRISK,BRIEF,ORB,FREAK,AKAZE,SIFT
SHITOMASI,0,0.465146,0.501662,1.10294,N/A,0.695523
HARRIS,0.425757,0.394523,132,0.995891,N/A,0.795977
FAST,0.422807,0.1397,0.171128,0.961766,N/A,0.789844
BRISK,1.27216,0.995764,1.2372,1.83234,N/A,2.5195
ORB,0.24533,0.280179,0.372871,0.854184,N/A,1.33084
AKAZE,1.72873,1.47866,1.70076,2.251,2.29701,1.91145
SIFT,2.30556,2.18864,N/A,2.99463,N/A,3.81267
